fecha,año,producto,mes,almacén,ciudad,cantidad,cliente,id_cliente
2025-02-11,2025,Jamón,2,Sucursal Norte,Cúcuta,7,Vicente Domínguez,1991
2021-08-09,2021,Morcilla,8,Sucursal Oeste,Cartagena,4,Victoria Iglesias,3061
2022-04-09,2022,Tocineta,4,Sucursal Este,Cali,2,Zoe Blanco,8872
2023-07-05,2023,Butifarra,7,Almacén Central,Pereira,3,Iván Gómez-Ferrer,5207
2023-04-20,2023,Chorizo,4,Sucursal Oeste,Medellín,8,Andrea Delgado,7625
2020-05-31,2020,Chorizo,5,Sucursal Este,Barranquilla,7,Salomé Rubio,2307
2023-11-25,2023,Chorizo,11,Sucursal Oeste,Medellín,1,Manuel Benítez,3883
2025-11-16,2025,Morcilla,11,Sucursal Oeste,Bogotá,5,Fabián Sánchez,4030
2021-08-23,2021,Tocineta,8,Sucursal Este,Bucaramanga,2,Beatriz Ramos,9175
2025-12-03,2025,Morcilla,12,Sucursal Este,Bucaramanga,6,Brenda Ramos,10032
2022-10-08,2022,Jamón,10,Sucursal Este,Cúcuta,1,Sofía Caballero-Peña,7154
2023-03-07,2023,Tocineta,3,Sucursal Sur,Bucaramanga,2,Gabriel Ramírez,2532
2025-06-06,2025,Longaniza,6,Sucursal Este,Cartagena,5,Sofía Hidalgo,9541
2020-10-30,2020,Salchichón,10,Sucursal Norte,Pereira,7,Isaac Crespo,8661
2024-09-09,2024,Tocineta,9,Sucursal Este,Bogotá,6,Valentina Santiago-Bravo,10903
2022-10-16,2022,Chorizo,10,Sucursal Norte,Cali,2,Patricia Ramos,4921
2020-09-09,2020,Chorizo,9,Sucursal Norte,Barranquilla,6,Alfredo Acosta,5599
2022-03-02,2022,Tocineta,3,Almacén Central,Medellín,1,Luciana Fuentes-Cardona,3192
2020-11-22,2020,Morcilla,11,Sucursal Norte,Cúcuta,9,Elisa Soto,1817
2022-07-05,2022,Salchichón,7,Almacén Central,Pereira,2,Raúl Hernández,9568
2024-03-30,2024,Jamón,3,Sucursal Oeste,Cartagena,3,Eduardo Campos,3420
2022-03-18,2022,Tocineta,3,Sucursal Norte,Pereira,8,Emilio Pascual,10680
2024-10-06,2024,Chorizo,10,Sucursal Sur,Bucaramanga,10,Héctor León,1751
2022-01-31,2022,Butifarra,1,Sucursal Norte,Bucaramanga,4,Rubén Zamora,3851
2025-03-12,2025,Morcilla,3,Sucursal Sur,Cartagena,6,Carlos Rivera,2917
2021-09-17,2021,Longaniza,9,Sucursal Oeste,Cali,4,Nico Rubio,3048
2025-06-22,2025,Chorizo,6,Almacén Central,Cartagena,4,Eduardo Zamora,10323
2021-11-21,2021,Salchichón,11,Sucursal Norte,Cartagena,6,Mateo Guillén,6727
2023-04-19,2023,Salchichón,4,Sucursal Oeste,Pereira,5,Manuel Solís-Peralta,1224
2024-02-06,2024,Morcilla,2,Sucursal Norte,Cúcuta,3,Rubén Pascual-Cortés,4502
2020-07-29,2020,Tocineta,7,Sucursal Oeste,Bucaramanga,8,Iván Méndez,6973
2021-10-03,2021,Jamón,10,Sucursal Sur,Cartagena,7,Enrique Pastor,10529
2022-05-04,2022,Chorizo,5,Almacén Central,Bogotá,1,Ramón Sánchez,9600
2020-01-27,2020,Butifarra,1,Almacén Central,Bucaramanga,10,Cecilia García,6520
2025-03-23,2025,Tocineta,3,Sucursal Oeste,Bogotá,5,Rubén Navarro,6776
2025-03-06,2025,Jamón,3,Sucursal Norte,Bucaramanga,1,Fernando González,7013
2022-11-22,2022,Longaniza,11,Sucursal Oeste,Cúcuta,4,Héctor Guerrero,5539
2021-02-04,2021,Longaniza,2,Sucursal Oeste,Cúcuta,4,Antonia Cortes,1810
2021-03-28,2021,Salchichón,3,Sucursal Sur,Cali,5,Daniel Serrano,10386
2020-03-07,2020,Tocineta,3,Sucursal Sur,Pereira,8,Isaac Fernández,2978
2025-09-06,2025,Salchichón,9,Sucursal Norte,Cúcuta,10,Guillermo Aguilar,1154
2024-09-27,2024,Longaniza,9,Sucursal Sur,Pereira,9,Montserrat Domínguez,5451
2022-04-14,2022,Tocineta,4,Sucursal Oeste,Bogotá,4,Mateo Guillén,6727
2024-01-05,2024,Tocineta,1,Almacén Central,Barranquilla,5,Lourdes Ferrer-Ramos,4536
2021-04-08,2021,Chorizo,4,Sucursal Este,Cali,10,Andrea Marín,1731
2023-10-10,2023,Morcilla,10,Sucursal Este,Medellín,4,Iván Guillén,2583
2022-05-21,2022,Chorizo,5,Sucursal Oeste,Cali,6,Ernesto Ruiz-Marín,7116
2020-06-05,2020,Jamón,6,Sucursal Sur,Cali,3,Regina Salazar-Ferrer,4686
2023-07-17,2023,Jamón,7,Sucursal Norte,Medellín,7,Montserrat Molina,10080
2022-08-30,2022,Tocineta,8,Sucursal Este,Cartagena,6,Cristina Contreras,8270
2020-09-27,2020,Chorizo,9,Sucursal Este,Pereira,7,Germán Iglesias,1677
2024-05-09,2024,Tocineta,5,Sucursal Este,Cúcuta,10,Uriel Ruiz,2407
2020-07-13,2020,Chorizo,7,Sucursal Este,Cartagena,10,Victoria Pastor-Cortés,9890
2022-11-07,2022,Salchichón,11,Sucursal Oeste,Cali,7,Pedro Cortés,6818
2021-05-12,2021,Morcilla,5,Sucursal Oeste,Cúcuta,1,Cristian García,10015
2025-01-20,2025,Tocineta,1,Almacén Central,Medellín,10,Roberto Álvarez,8595
2025-11-01,2025,Butifarra,11,Sucursal Oeste,Cali,7,Magdalena Diez,8549
2022-09-21,2022,Morcilla,9,Sucursal Norte,Bogotá,1,Brenda Hidalgo,8571
2020-05-17,2020,Salchichón,5,Sucursal Norte,Cartagena,7,Benjamín Martínez,6687
2023-03-21,2023,Salchichón,3,Sucursal Sur,Barranquilla,8,Rosa Pascual,5396
2024-06-01,2024,Chorizo,6,Sucursal Sur,Cali,3,Úrsula Domínguez-Lara,1587
2022-09-02,2022,Jamón,9,Sucursal Oeste,Bucaramanga,2,Mario Torres,6760
2021-07-09,2021,Salchichón,7,Sucursal Este,Barranquilla,1,Isaac Aguilar,1663
2025-05-05,2025,Longaniza,5,Sucursal Este,Barranquilla,4,Mateo Lara,4442
2020-07-22,2020,Longaniza,7,Sucursal Este,Bucaramanga,4,Ximena Fuentes,1948
2022-05-13,2022,Longaniza,5,Sucursal Sur,Cali,8,Blas Santos,1518
2020-03-15,2020,Salchichón,3,Almacén Central,Cali,6,David Estrada,5386
2021-08-16,2021,Salchichón,8,Almacén Central,Bucaramanga,5,Carlos Salazar-Esteban,8824
2025-11-26,2025,Chorizo,11,Sucursal Sur,Cartagena,9,Montserrat Hernández,10019
2022-07-27,2022,Longaniza,7,Sucursal Oeste,Bucaramanga,9,Hugo Solís,9169
2024-06-01,2024,Salchichón,6,Almacén Central,Barranquilla,8,Diana Medina-Gallego,9838
2023-11-11,2023,Salchichón,11,Sucursal Este,Cartagena,3,Natalia Martínez-Muñoz,8755
2024-07-03,2024,Chorizo,7,Sucursal Oeste,Cúcuta,10,Gabriela Ruiz,7865
2022-05-29,2022,Morcilla,5,Sucursal Oeste,Cali,4,Gabriela Aguilar-Calvo,7219
2022-05-28,2022,Chorizo,5,Sucursal Oeste,Medellín,8,Carlos Jiménez,4481
2025-02-22,2025,Longaniza,2,Sucursal Sur,Barranquilla,4,Sofía Prieto-Villanueva,8489
2025-12-08,2025,Butifarra,12,Sucursal Este,Bogotá,9,Francisco Aguilar,3600
2024-03-15,2024,Butifarra,3,Almacén Central,Barranquilla,7,Laura Acosta,5434
2023-07-19,2023,Jamón,7,Almacén Central,Cartagena,5,Graciela Caballero-Bravo,5504
2022-05-04,2022,Morcilla,5,Sucursal Oeste,Pereira,5,Óscar Ortiz,8886
2020-09-27,2020,Morcilla,9,Sucursal Este,Bucaramanga,10,Mateo Blanco,8357
2022-12-17,2022,Longaniza,12,Sucursal Este,Cúcuta,2,Bruno Medina,8460
2021-06-24,2021,Longaniza,6,Sucursal Oeste,Barranquilla,1,Cecilia Estrada,8822
2021-06-29,2021,Jamón,6,Sucursal Norte,Barranquilla,9,Uriel Bravo,1234
2021-11-27,2021,Chorizo,11,Sucursal Oeste,Bogotá,7,Emma Iglesias,4078
2024-11-30,2024,Butifarra,11,Sucursal Norte,Pereira,9,Fernando Gil,9892
2024-05-28,2024,Tocineta,5,Sucursal Este,Barranquilla,5,Damián Cortés-Castro,1133
2020-01-05,2020,Butifarra,1,Almacén Central,Barranquilla,1,Luis Sierra-Muñoz,7943
2025-03-02,2025,Jamón,3,Sucursal Este,Medellín,7,Laura Serrano-Ortiz,1255
2021-03-02,2021,Tocineta,3,Sucursal Este,Barranquilla,9,Jana Ortiz-Méndez,8997
2023-02-14,2023,Chorizo,2,Almacén Central,Medellín,9,Jana Cano,3359
2022-11-26,2022,Longaniza,11,Sucursal Sur,Bucaramanga,7,Héctor Miranda,9578
2021-11-02,2021,Butifarra,11,Sucursal Este,Cali,5,Graciela Calvo,3532
2020-06-13,2020,Salchichón,6,Sucursal Este,Pereira,8,Samuel Muñoz-Ortega,7000
2020-10-23,2020,Chorizo,10,Sucursal Norte,Cúcuta,10,Miguel Cortés,6070
2023-08-25,2023,Morcilla,8,Sucursal Norte,Cali,6,Ricardo Pascual,2013
2021-08-06,2021,Tocineta,8,Sucursal Oeste,Cúcuta,10,Tania Muñoz,10010
2022-01-17,2022,Butifarra,1,Sucursal Oeste,Cartagena,2,Salomé Acosta,7578
2021-08-11,2021,Chorizo,8,Sucursal Este,Medellín,6,Rubén Méndez,1966
2024-08-05,2024,Tocineta,8,Almacén Central,Barranquilla,9,Emilio Guerrero,1990
2024-04-26,2024,Salchichón,4,Sucursal Oeste,Cartagena,1,Jacqueline Álvarez,4389
2023-07-27,2023,Butifarra,7,Sucursal Norte,Pereira,6,Verónica Aguilar,9822
2025-12-23,2025,Salchichón,12,Sucursal Este,Cali,9,Felipe García-Martínez,7333
2022-05-13,2022,Jamón,5,Sucursal Sur,Cartagena,4,Lázaro Fernández,7675
2020-05-23,2020,Salchichón,5,Sucursal Sur,Pereira,5,Rocío Serrano-Domínguez,7352
2024-05-04,2024,Chorizo,5,Sucursal Norte,Cartagena,5,Gloria Diez,10092
2020-06-09,2020,Chorizo,6,Sucursal Sur,Bucaramanga,5,Verónica Guerrero-Acosta,3040
2021-12-08,2021,Morcilla,12,Sucursal Sur,Pereira,8,Paulina Acosta,10994
2025-03-19,2025,Chorizo,3,Sucursal Sur,Cali,8,Paco Aguilar,8895
2022-11-28,2022,Morcilla,11,Sucursal Este,Pereira,9,Gema Santos,1690
2023-04-02,2023,Longaniza,4,Sucursal Sur,Cartagena,9,Ricardo Reyes-Pastor,5859
2023-05-17,2023,Morcilla,5,Sucursal Este,Medellín,1,Sofía García,6270
2022-04-30,2022,Longaniza,4,Almacén Central,Cartagena,3,Patricia Domínguez,4231
2024-08-04,2024,Tocineta,8,Sucursal Norte,Cali,3,Jonatan Gutiérrez,10158
2023-07-06,2023,Butifarra,7,Sucursal Este,Cartagena,8,Yolanda Ramírez-Rojas,1659
2024-02-17,2024,Tocineta,2,Sucursal Este,Medellín,10,Consuelo Miranda,1024
2025-08-17,2025,Chorizo,8,Sucursal Norte,Cartagena,6,Martina Herrera,2911
2023-11-27,2023,Butifarra,11,Sucursal Sur,Pereira,10,Ricardo Paredes,5562
2021-09-30,2021,Butifarra,9,Sucursal Oeste,Cúcuta,6,Lorena Lara-Cortes,9430
2021-03-26,2021,Jamón,3,Sucursal Este,Bucaramanga,4,Armando Núñez,8561
2024-10-10,2024,Chorizo,10,Sucursal Norte,Cúcuta,2,Montserrat Medina,1744
2022-07-29,2022,Tocineta,7,Sucursal Sur,Cúcuta,3,Antonia Torres,6445
2025-07-02,2025,Salchichón,7,Sucursal Oeste,Bogotá,3,Marco Salazar,3596
2025-10-25,2025,Butifarra,10,Sucursal Este,Bucaramanga,9,Ricardo Muñoz,8604
2023-09-19,2023,Jamón,9,Sucursal Oeste,Bogotá,7,Ernesto Gutiérrez-Zamora,6398
2025-01-11,2025,Butifarra,1,Almacén Central,Cali,4,Rina Villanueva,3840
2022-06-08,2022,Butifarra,6,Almacén Central,Pereira,3,Daniel Pérez,9380
2023-04-17,2023,Butifarra,4,Almacén Central,Cúcuta,7,Sofía Muñoz,2302
2020-08-30,2020,Chorizo,8,Sucursal Oeste,Cali,2,Santi Vidal,9412
2020-02-27,2020,Tocineta,2,Sucursal Sur,Bogotá,7,Zacarías Gil,10173
2021-02-05,2021,Tocineta,2,Sucursal Sur,Cúcuta,6,Hugo Vega-Gallego,3258
2021-07-06,2021,Chorizo,7,Sucursal Norte,Cali,2,Óscar Suárez,1670
2025-04-10,2025,Longaniza,4,Sucursal Este,Barranquilla,10,Ricardo Caballero,3828
2021-02-15,2021,Longaniza,2,Almacén Central,Pereira,8,Agustina Contreras,6800
2020-06-03,2020,Longaniza,6,Almacén Central,Barranquilla,5,Julieta González,8432
2022-06-26,2022,Jamón,6,Sucursal Norte,Cartagena,9,Bruno Ortiz,7507
2025-12-17,2025,Tocineta,12,Sucursal Este,Cali,8,Gloria Esteban-Vega,9802
2023-04-19,2023,Morcilla,4,Sucursal Oeste,Medellín,6,Victor Morales,4957
2025-02-28,2025,Butifarra,2,Almacén Central,Bucaramanga,6,Pablo Carrasco,5372
2021-03-25,2021,Chorizo,3,Almacén Central,Bogotá,5,María Martínez-López,7048
2024-06-12,2024,Tocineta,6,Sucursal Sur,Barranquilla,2,Israel Crespo-Esteban,10971
2020-04-02,2020,Tocineta,4,Sucursal Norte,Cali,3,Zacarías Cortés-Salazar,6060
2025-04-17,2025,Tocineta,4,Sucursal Norte,Cali,6,Emma Bravo,3340
2020-07-25,2020,Chorizo,7,Sucursal Norte,Barranquilla,5,Juan Cruz,9749
2024-09-13,2024,Tocineta,9,Sucursal Este,Bogotá,9,Raúl Guillén,1970
2021-05-13,2021,Morcilla,5,Sucursal Este,Cúcuta,2,Adrián Álvarez,4132
2024-02-27,2024,Butifarra,2,Almacén Central,Barranquilla,8,Bruno Estrada,10083
2021-06-28,2021,Chorizo,6,Almacén Central,Cartagena,8,David Soto,10385
2024-09-02,2024,Tocineta,9,Sucursal Este,Cúcuta,8,Isabel Vázquez-Domínguez,4583
2023-04-07,2023,Tocineta,4,Sucursal Este,Cartagena,1,Ignacio Cortés,9281
2023-07-16,2023,Chorizo,7,Sucursal Norte,Cali,7,Manuel Méndez,7375
2025-05-31,2025,Chorizo,5,Sucursal Este,Cartagena,6,Teodoro Soto,2139
2022-03-27,2022,Longaniza,3,Sucursal Oeste,Cúcuta,9,Alfonso Zamora,7020
2020-12-13,2020,Chorizo,12,Sucursal Sur,Bogotá,2,Ernesto Santiago-Vargas,3355
2024-05-29,2024,Morcilla,5,Sucursal Norte,Cartagena,5,Jesús Jiménez-Santos,6689
2025-11-25,2025,Tocineta,11,Sucursal Oeste,Barranquilla,2,Liliana Aguilar,9905
2020-02-24,2020,Chorizo,2,Sucursal Oeste,Cúcuta,4,Martina Álvarez-Calvo,8036
2020-11-19,2020,Morcilla,11,Sucursal Este,Bogotá,6,Magdalena Navarro,4769
2022-06-19,2022,Butifarra,6,Sucursal Oeste,Cúcuta,9,Paulina Hernández-Martínez,2403
2022-09-07,2022,Jamón,9,Sucursal Este,Pereira,1,Sandra León-Sánchez,4444
2024-07-20,2024,Butifarra,7,Sucursal Este,Cartagena,10,Leo Vargas,4646
2025-11-17,2025,Butifarra,11,Sucursal Este,Barranquilla,8,Jorge León,2840
2022-01-08,2022,Salchichón,1,Sucursal Oeste,Medellín,2,Camilo Campos,3424
2024-01-19,2024,Butifarra,1,Sucursal Oeste,Cali,5,Salomé Prieto-Ferrer,4834
2021-08-17,2021,Chorizo,8,Almacén Central,Cúcuta,9,Montserrat Ortiz-Cruz,4449
2023-07-05,2023,Morcilla,7,Sucursal Sur,Pereira,4,Arturo Romero,10676
2020-05-03,2020,Butifarra,5,Almacén Central,Barranquilla,5,Francisco Castro,2727
2022-06-03,2022,Jamón,6,Sucursal Este,Pereira,8,María Herrera,9038
2022-01-04,2022,Butifarra,1,Sucursal Norte,Bucaramanga,6,Victoria Guerrero,10569
2024-10-24,2024,Chorizo,10,Almacén Central,Cali,8,Marina García,5507
2023-01-11,2023,Chorizo,1,Sucursal Este,Bucaramanga,7,Alfredo Pardo,8008
2025-11-16,2025,Butifarra,11,Sucursal Este,Bogotá,9,Regina Hernández,7975
2020-01-28,2020,Salchichón,1,Sucursal Norte,Cartagena,8,Olivia Rivera,10762
2023-08-10,2023,Tocineta,8,Sucursal Sur,Medellín,7,Marcos Torres,8497
2025-10-24,2025,Morcilla,10,Sucursal Norte,Pereira,9,Camila Ferrer,8435
2022-06-23,2022,Longaniza,6,Sucursal Este,Medellín,6,Jimena Pérez,6629
2022-07-25,2022,Jamón,7,Sucursal Este,Bogotá,8,Adán Blanco,3507
2020-01-06,2020,Butifarra,1,Almacén Central,Bucaramanga,6,Israel Rubio-Muñoz,10463
2021-04-24,2021,Butifarra,4,Sucursal Norte,Medellín,4,Hugo Sánchez-Alonso,8315
2020-05-27,2020,Morcilla,5,Sucursal Oeste,Barranquilla,10,Lucas Cardona,7065
2020-05-12,2020,Tocineta,5,Sucursal Oeste,Cali,7,Nicolás Pardo-Rivera,10703
2025-09-07,2025,Morcilla,9,Sucursal Sur,Pereira,8,Emilio Muñoz,6543
2021-09-23,2021,Tocineta,9,Sucursal Este,Cali,7,Beatriz Hernández-Sanz,4987
2025-04-01,2025,Salchichón,4,Sucursal Este,Cartagena,6,Rebeca Moreno-Santos,5302
2025-10-26,2025,Tocineta,10,Sucursal Sur,Bucaramanga,2,Julieta Marín,6088
2023-02-28,2023,Tocineta,2,Almacén Central,Cúcuta,10,Karla Castillo,1160
2020-08-05,2020,Chorizo,8,Sucursal Este,Cartagena,7,Elena Ramos,10102
2020-11-25,2020,Tocineta,11,Almacén Central,Bucaramanga,2,Claudia Lorenzo,6213
2023-11-30,2023,Chorizo,11,Almacén Central,Medellín,4,Regina Rojas,10342
2023-08-07,2023,Tocineta,8,Almacén Central,Pereira,2,Uriel Marín,7076
2020-05-26,2020,Jamón,5,Sucursal Norte,Cartagena,8,Zacarías Carrasco,9915
2024-10-02,2024,Longaniza,10,Sucursal Sur,Bucaramanga,10,Emma Santos,6427
2025-03-26,2025,Longaniza,3,Sucursal Oeste,Cúcuta,2,Isabella Ramírez,8851
2021-12-28,2021,Butifarra,12,Almacén Central,Cartagena,1,Romina Cruz,4104
2025-01-24,2025,Morcilla,1,Sucursal Sur,Bogotá,10,María Escobar,3667
2023-07-12,2023,Butifarra,7,Almacén Central,Bucaramanga,4,Lucas Pastor,1067
2022-04-16,2022,Salchichón,4,Sucursal Este,Bogotá,10,Iván Vidal,6430
2025-10-19,2025,Longaniza,10,Almacén Central,Pereira,9,Lucas Sanz,9118
2025-09-24,2025,Chorizo,9,Sucursal Sur,Medellín,6,Úrsula Lara,9907
2024-09-04,2024,Butifarra,9,Sucursal Oeste,Cúcuta,8,Florencia Santos,2453
2023-03-27,2023,Salchichón,3,Almacén Central,Medellín,8,Sara Torres,2764
2022-06-04,2022,Jamón,6,Almacén Central,Bogotá,10,Mireia Caballero,3121
2025-01-21,2025,Chorizo,1,Sucursal Sur,Bogotá,9,Angélica Rojas-León,10438
2020-11-07,2020,Jamón,11,Almacén Central,Barranquilla,9,Yolanda Torres,2047
2023-06-30,2023,Tocineta,6,Sucursal Norte,Bucaramanga,1,Diego Fuentes,6532
2025-04-29,2025,Longaniza,4,Sucursal Oeste,Barranquilla,9,Isaac Guerrero,7035
2020-04-06,2020,Jamón,4,Sucursal Este,Cali,7,Gustavo Ibañez,2982
2022-03-05,2022,Morcilla,3,Sucursal Sur,Cali,9,Manuel Acosta,9090
2022-01-08,2022,Chorizo,1,Sucursal Norte,Bogotá,10,Emilio Mendoza-Vargas,10262
2023-05-04,2023,Salchichón,5,Sucursal Sur,Barranquilla,9,Claudia Álvarez,1213
2021-02-24,2021,Jamón,2,Sucursal Sur,Barranquilla,2,Lourdes Ferrer-Ramos,4536
2021-08-25,2021,Butifarra,8,Sucursal Oeste,Cartagena,3,Yolanda Gómez,9803
2023-03-02,2023,Longaniza,3,Sucursal Oeste,Bucaramanga,10,Bruno Rivera,1178
2021-10-22,2021,Butifarra,10,Sucursal Norte,Barranquilla,9,Pilar Crespo-Ramos,5843
2025-09-08,2025,Jamón,9,Sucursal Norte,Barranquilla,2,Paulina Aguilar,6839
2022-04-02,2022,Morcilla,4,Almacén Central,Cartagena,2,Liliana Rubio,4127
2021-02-07,2021,Chorizo,2,Sucursal Sur,Cali,4,Teodoro Salazar,10898
2024-01-24,2024,Butifarra,1,Sucursal Norte,Pereira,5,Pablo Crespo-Domínguez,8151
2024-02-08,2024,Morcilla,2,Sucursal Norte,Cartagena,2,Camila Flores,10364
2025-11-04,2025,Butifarra,11,Sucursal Sur,Bogotá,6,Ignacio Reyes-Hernández,8045
2020-12-22,2020,Morcilla,12,Sucursal Oeste,Pereira,9,Sebastián Iglesias,8418
2025-03-14,2025,Salchichón,3,Sucursal Este,Medellín,4,Patricia García-Suárez,9016
2021-12-22,2021,Longaniza,12,Sucursal Sur,Cartagena,8,Renata Pastor,6047
2022-08-08,2022,Tocineta,8,Sucursal Norte,Bucaramanga,1,Magdalena Salazar,8676
2020-05-06,2020,Tocineta,5,Sucursal Oeste,Pereira,6,Jana Pascual-Molina,3993
2020-02-28,2020,Salchichón,2,Sucursal Sur,Cartagena,7,Alma Mendoza,2387
2021-09-13,2021,Longaniza,9,Sucursal Este,Bogotá,10,Alicia Diez-Moreno,3476
2023-12-25,2023,Chorizo,12,Almacén Central,Medellín,7,Adriana Suárez-Ramírez,8248
2025-05-26,2025,Butifarra,5,Sucursal Norte,Cúcuta,9,Iván Rubio,6277
